2016/S
2016-06-08 14:24:51
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
일선;영어영문학과;1학년;100.001;001;기초영어;1;월(1-3)/화(1.5-1.5)/수(1-3)/목(1.5-1.5)/금(1-3);003-109/003-109/003-109/003-109/003-109;백혜정;24;23;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;002;기초영어;1;월(1-3)/화(1.5-1.5)/수(1-3)/목(1.5-1.5)/금(1-3);002-102/003-114/002-102/003-114/002-102;조정곤;24;23;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;003;기초영어;1;월(1-3)/화(1.5-1.5)/수(1-3)/목(1.5-1.5)/금(1-3);005-208/005-208/005-208/005-208/005-208;모윤숙;24;24;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;004;기초영어;1;월(1-3)/화(3-1.5)/수(1-3)/목(3-1.5)/금(1-3);008-408/008-408/008-408/008-408/008-408;노동욱;24;26;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;005;기초영어;1;월(4-3)/화(3-1.5)/수(4-3)/목(3-1.5)/금(4-3);002-102/003-114/002-102/003-114/002-102;조정곤;24;25;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;006;기초영어;1;월(4-3)/월(3-1)/수(4-3)/수(3-1)/금(4-3)/금(3-1);004-201/004-201/004-201/004-201/004-201/004-201;여미영;24;26;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;007;기초영어;1;월(4-3)/월(2-1)/수(4-3)/수(2-1)/금(4-3)/금(2-1);005-107-2/004-201/005-107-2/004-201/005-107-2/004-201;이정진;24;25;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;008;기초영어;1;월(4-3)/화(6-1.5)/수(4-3)/목(6-1.5)/금(4-3);005-208/005-208/005-208/005-208/005-208;모윤숙;24;26;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;009;기초영어;1;월(7-3)/화(3-1.5)/수(7-3)/목(3-1.5)/금(7-3);002-101/002-101/002-101/002-101/002-101;노동욱;24;25;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;010;기초영어;1;월(7-3)/화(4.5-1.5)/수(7-3)/목(4.5-1.5)/금(7-3);002-104-1/002-104/002-104-1/002-104/002-104-1;유이나;24;26;ⓔ수강기준에 맞지않을시 U(수강편람의 "기초영어·대학영어1·대학영어2·고급영어 신청에 대한 유의사항"반드시 확인후 신청);;;
